daily,f0_
2016-06-16,96161
2016-06-17,106109
2016-06-18,96306
2016-06-19,83705
2016-06-20,92881
2016-06-21,93286
2016-06-22,99394
2016-06-23,97218
2016-06-24,98524
2016-06-25,95630
2016-06-26,78527
2016-06-27,77650
2016-06-28,78194
2016-06-29,83172
2016-06-30,89635
2016-07-01,83691
2016-07-02,72971
2016-07-03,67811
2016-07-04,58299
2016-07-05,67092
2016-07-06,74212
2016-07-07,81236
2016-07-08,89809
2016-07-09,83074
2016-07-10,70268
2016-07-11,80749
2016-07-12,84797
2016-07-13,93731
2016-07-14,97716
2016-07-15,105418
2016-07-16,96652
2016-07-17,82797
2016-07-18,87680
2016-07-19,93243
2016-07-20,95157
2016-07-21,103004
2016-07-22,103664
2016-07-23,98501
2016-07-24,77679
2016-07-25,82612
2016-07-26,86774
2016-07-27,98123
2016-07-28,102806
2016-07-29,110174
2016-07-30,95590
2016-07-31,57547
2016-08-01,84577
2016-08-02,80623
2016-08-03,87305
2016-08-04,91304
2016-08-05,90341
2016-08-06,81400
2016-08-07,68020
2016-08-08,73812
2016-08-09,85280
2016-08-10,91358
2016-08-11,101006
2016-08-12,108656
2016-08-13,89263
2016-08-14,74712
2016-08-15,82133
2016-08-16,83646
2016-08-17,90717
2016-08-18,97001
2016-08-19,96481
2016-08-20,87137
2016-08-21,76835
2016-08-22,75200
2016-08-23,80071
2016-08-24,84203
2016-08-25,86152
2016-08-26,91848
2016-08-27,85495
2016-08-28,68418
2016-08-29,75032
2016-08-30,81335
2016-08-31,80095
2016-09-01,85435
2016-09-02,84402
2016-09-03,74187
2016-09-04,70241
2016-09-05,47975
2016-09-06,74813
2016-09-07,82689
2016-09-08,88854
2016-09-09,91703
2016-09-10,73586
2016-09-11,66816
2016-09-12,77669
2016-09-13,89092
2016-09-14,95982
2016-09-15,103565
2016-09-16,108093
2016-09-17,86924
2016-09-18,72554
2016-09-19,89007
2016-09-20,87962
2016-09-21,95115
2016-09-22,99521
2016-09-23,102519
2016-09-24,87698
2016-09-25,73518
2016-09-26,78372
2016-09-27,82684
2016-09-28,98272
2016-09-29,96029
2016-09-30,67342
2016-10-01,78251
2016-10-02,63731
2016-10-03,69006
2016-10-04,80698
2016-10-05,89213
2016-10-06,99566
2016-10-07,101537
2016-10-08,86372
2016-10-09,71868
2016-10-10,66644
2016-10-11,76531
2016-10-12,87363
2016-10-13,96571
2016-10-14,108791
2016-10-15,92845
2016-10-16,86091
2016-10-17,87764
2016-10-18,88415
2016-10-19,90610
2016-10-20,98353
2016-10-21,104586
2016-10-22,89620
2016-10-23,77042
2016-10-24,83851
2016-10-25,92514
2016-10-26,102738
2016-10-27,98732
